Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget,Per-Post Budget
P018,Instagram,19-08-2024,Reel,Check out our latest reel on instagram!,3000,382,325,36000,35819,19,#LiveForNow,SummerSplash,3707,10.30%,No Campaign,#N/A,#N/A,#N/A,0
P019,Instagram,23-06-2024,Video,Check out our latest video on instagram!,1071,519,22,16065,15865,103,#PepsiCoRefresh,DailyWellness,1612,10.03%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P020,Instagram,09-09-2024,Carousel,Check out our latest carousel on instagram!,4054,488,373,77026,76881,25,#PepsiCoRefresh,SummerSplash,4915,6.38%,No Campaign,#N/A,#N/A,#N/A,0
P021,Instagram,04-01-2025,Reel,Check out our latest reel on instagram!,4838,640,128,72570,72396,83,#LiveForNow,DailyWellness,5606,7.72%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P022,Facebook,27-02-2025,Text,Check out our latest text on facebook!,1570,187,260,25120,24613,133,#PepsiCoRefresh,DailyWellness,2017,8.03%,No Campaign,#N/A,#N/A,#N/A,0
P023,Facebook,06-11-2024,Video,Check out our latest video on facebook!,1606,547,316,32120,31736,225,"#PepsiCoRefresh,#AnytimeIsPepsiTime",FestiveRadiance,2469,7.69%,No Campaign,#N/A,#N/A,#N/A,0
P024,Facebook,23-01-2025,Video,Check out our latest video on facebook!,3961,761,131,67337,66615,161,#LiveForNow,NewYearRefresh,4853,7.21%,No Campaign,#N/A,#N/A,#N/A,0
P025,Twitter,10-04-2025,Carousel,Check out our latest carousel on twitter!,3128,211,197,59432,59182,238,#ThirstyForMore,,3536,5.95%,No Campaign,#N/A,#N/A,#N/A,0
P026,YouTube,05-04-2025,Reel,Check out our latest reel on youtube!,3009,413,358,42126,41309,211,#LiveForNow,FestiveRadiance,3780,8.97%,No Campaign,#N/A,#N/A,#N/A,0
P027,YouTube,17-09-2024,Text,Check out our latest text on youtube!,2076,195,104,33216,32244,51,#LiveForNow,DailyWellness,2375,7.15%,No Campaign,#N/A,#N/A,#N/A,0
P028,Instagram,04-03-2025,Video,Check out our latest video on instagram!,432,624,123,6912,6259,79,#LiveForNow,DailyWellness,1179,17.06%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P029,Instagram,31-01-2025,Carousel,Check out our latest carousel on instagram!,2566,118,37,12830,12264,221,#LiveForNow,NewYearRefresh,2721,21.21%,No Campaign,#N/A,#N/A,#N/A,0
P030,Instagram,25-02-2025,Video,Check out our latest video on instagram!,3095,39,78,55710,54808,93,#ThirstyForMore,,3212,5.77%,No Campaign,#N/A,#N/A,#N/A,0
P031,Instagram,16-12-2024,Text,Check out our latest text on instagram!,438,153,275,3066,2701,282,#PepsiCoRefresh,FestiveRadiance,866,28.25%,No Campaign,#N/A,#N/A,#N/A,0
P032,Twitter,31-07-2024,Carousel,Check out our latest carousel on twitter!,2278,10,321,13668,12676,275,#ThirstyForMore,SummerSplash,2609,19.09%,No Campaign,#N/A,#N/A,#N/A,0
P033,Facebook,21-08-2024,Image,Check out our latest image on facebook!,1407,400,351,16884,15954,113,#PepsiCoRefresh,SummerSplash,2158,12.78%,No Campaign,#N/A,#N/A,#N/A,0
P034,Facebook,26-03-2025,Text,Check out our latest text on facebook!,1652,89,357,29736,28771,215,#PepsiCoRefresh,NewYearRefresh,2098,7.06%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P035,Instagram,30-11-2024,Video,Check out our latest video on instagram!,3775,16,239,33975,33310,271,#LiveForNow,FestiveRadiance,4030,11.86%,No Campaign,#N/A,#N/A,#N/A,0
P036,Instagram,19-04-2025,Story,Check out our latest story on instagram!,4518,285,383,67770,67621,31,#ThirstyForMore,FestiveRadiance,5186,7.65%,No Campaign,#N/A,#N/A,#N/A,0
P037,Facebook,06-01-2025,Carousel,Check out our latest carousel on facebook!,3024,925,350,24192,23518,36,#ThirstyForMore,FestiveRadiance,4299,17.77%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P038,YouTube,17-02-2025,Reel,Check out our latest reel on youtube!,3138,123,291,28242,27550,87,#PepsiCoRefresh,DailyWellness,3552,12.58%,No Campaign,#N/A,#N/A,#N/A,0
P039,Facebook,25-11-2024,Image,Check out our latest image on facebook!,3564,629,177,60588,59627,92,#PepsiCoRefresh,,4370,7.21%,No Campaign,#N/A,#N/A,#N/A,0
P040,Twitter,07-03-2025,Image,Check out our latest image on twitter!,4750,151,415,38000,37792,299,#ThirstyForMore,DailyWellness,5316,13.99%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P041,Instagram,08-03-2025,Reel,Check out our latest reel on instagram!,456,629,428,8208,7377,205,#LiveForNow,DailyWellness,1513,18.43%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P042,YouTube,05-03-2025,Reel,Check out our latest reel on youtube!,1543,820,333,12344,11496,241,#ThirstyForMore,,2696,21.84%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P043,Instagram,14-12-2024,Carousel,Check out our latest carousel on instagram!,2174,658,15,13044,12206,137,#PepsiCoRefresh,NewYearRefresh,2847,21.83%,No Campaign,#N/A,#N/A,#N/A,0
P044,Twitter,02-03-2025,Image,Check out our latest image on twitter!,2358,784,344,35370,34475,216,#PepsiCoRefresh,,3486,9.86%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P045,Facebook,01-11-2024,Video,Check out our latest video on facebook!,3371,106,327,50565,49816,176,#LiveForNow,SummerSplash,3804,7.52%,No Campaign,#N/A,#N/A,#N/A,0
P046,Twitter,02-05-2025,Video,Check out our latest video on twitter!,1108,177,212,8864,8710,97,#PepsiCoRefresh,DailyWellness,1497,16.89%,No Campaign,#N/A,#N/A,#N/A,0
P047,Twitter,24-02-2025,Carousel,Check out our latest carousel on twitter!,2704,752,153,21632,20792,127,#LiveForNow,,3609,16.68%,No Campaign,#N/A,#N/A,#N/A,0
P048,Twitter,11-03-2025,Story,Check out our latest story on twitter!,1950,295,478,37050,36272,119,#PepsiCoRefresh,,2723,7.35%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P049,Twitter,10-06-2024,Story,Check out our latest story on twitter!,2164,549,274,28132,27361,177,#PepsiCoRefresh,DailyWellness,2987,10.62%,No Campaign,#N/A,#N/A,#N/A,0
P050,YouTube,03-07-2024,Story,Check out our latest story on youtube!,2754,130,90,22032,21288,112,#PepsiCoRefresh,NewYearRefresh,2974,13.50%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P051,Facebook,13-06-2024,Carousel,Check out our latest carousel on facebook!,2200,504,239,37400,36938,225,#LiveForNow,FestiveRadiance,2943,7.87%,No Campaign,#N/A,#N/A,#N/A,0
P052,Facebook,03-01-2025,Image,Check out our latest image on facebook!,947,338,350,10417,9730,34,#PepsiCoRefresh,DailyWellness,1635,15.70%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P053,YouTube,24-02-2025,Carousel,Check out our latest carousel on youtube!,804,639,43,4020,3144,11,"#ThirstyForMore,#BetterWithPepsi",,1486,36.97%,No Campaign,#N/A,#N/A,#N/A,0
P054,YouTube,13-03-2025,Carousel,Check out our latest carousel on youtube!,1686,904,472,18546,18171,52,#LiveForNow,FestiveRadiance,3062,16.51%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P055,Facebook,17-06-2024,Image,Check out our latest image on facebook!,1226,119,7,14712,14049,123,#ThirstyForMore,DailyWellness,1352,9.19%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P056,Facebook,18-12-2024,Carousel,Check out our latest carousel on facebook!,2946,498,367,29460,28527,60,#LiveForNow,NewYearRefresh,3811,12.94%,No Campaign,#N/A,#N/A,#N/A,0
P057,Twitter,21-10-2024,Video,Check out our latest video on twitter!,2825,535,295,45200,44739,169,#PepsiCoRefresh,SummerSplash,3655,8.09%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P058,Instagram,15-04-2025,Reel,Check out our latest reel on instagram!,103,770,19,1030,410,262,#PepsiCoRefresh,DailyWellness,892,86.60%,No Campaign,#N/A,#N/A,#N/A,0
P059,Instagram,22-06-2024,Text,Check out our latest text on instagram!,2180,263,387,30520,30059,174,#ThirstyForMore,,2830,9.27%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P060,Instagram,28-01-2025,Video,Check out our latest video on instagram!,904,973,63,11752,11580,84,"#ThirstyForMore,#PepsiCoRefresh,#AnytimeIsPepsiTime",NewYearRefresh,1940,16.51%,No Campaign,#N/A,#N/A,#N/A,0
P061,Twitter,05-09-2024,Video,Check out our latest video on twitter!,4886,983,409,43974,43239,65,#PepsiCoRefresh,SummerSplash,6278,14.28%,No Campaign,#N/A,#N/A,#N/A,0
P062,Twitter,22-11-2024,Carousel,Check out our latest carousel on twitter!,53,81,379,954,7,148,#PepsiCoRefresh,NewYearRefresh,513,53.77%,No Campaign,#N/A,#N/A,#N/A,0
P063,Twitter,31-07-2024,Carousel,Check out our latest carousel on twitter!,4507,217,13,90140,89591,125,#LiveForNow,NewYearRefresh,4737,5.26%,No Campaign,#N/A,#N/A,#N/A,0
P064,Facebook,17-08-2024,Image,Check out our latest image on facebook!,2878,248,416,43170,42667,75,#LiveForNow,NewYearRefresh,3542,8.20%,No Campaign,#N/A,#N/A,#N/A,0
P065,Instagram,28-03-2025,Story,Check out our latest story on instagram!,1881,501,99,20691,19987,289,#ThirstyForMore,,2481,11.99%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P066,Twitter,26-07-2024,Carousel,Check out our latest carousel on twitter!,432,171,280,3024,2285,184,#ThirstyForMore,SummerSplash,883,29.20%,No Campaign,#N/A,#N/A,#N/A,0
P067,Facebook,29-03-2025,Carousel,Check out our latest carousel on facebook!,4712,568,127,84816,84691,100,#ThirstyForMore,NewYearRefresh,5407,6.37%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P068,Instagram,08-12-2024,Story,Check out our latest story on instagram!,2610,126,288,15660,15145,73,#ThirstyForMore,,3024,19.31%,No Campaign,#N/A,#N/A,#N/A,0
P069,Twitter,08-03-2025,Text,Check out our latest text on twitter!,1292,626,496,25840,24916,149,#LiveForNow,NewYearRefresh,2414,9.34%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P070,Facebook,02-04-2025,Video,Check out our latest video on facebook!,199,772,400,3582,2988,43,#PepsiCoRefresh,,1371,38.27%,No Campaign,#N/A,#N/A,#N/A,0
P071,YouTube,02-09-2024,Carousel,Check out our latest carousel on youtube!,2551,915,205,30612,30360,227,#PepsiCoRefresh,FestiveRadiance,3671,11.99%,No Campaign,#N/A,#N/A,#N/A,0
P072,YouTube,03-03-2025,Reel,Check out our latest reel on youtube!,296,60,141,5624,5239,88,#ThirstyForMore,FestiveRadiance,497,8.84%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P073,Facebook,18-10-2024,Story,Check out our latest story on facebook!,4126,426,486,78394,77798,88,#LiveForNow,DailyWellness,5038,6.43%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P074,YouTube,28-10-2024,Reel,Check out our latest reel on youtube!,1855,200,174,16695,16330,123,#PepsiCoRefresh,NewYearRefresh,2229,13.35%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P075,Instagram,01-08-2024,Reel,Check out our latest reel on instagram!,1674,929,37,21762,20998,255,#PepsiCoRefresh,DailyWellness,2640,12.13%,No Campaign,#N/A,#N/A,#N/A,0
P076,Twitter,07-11-2024,Story,Check out our latest story on twitter!,1121,135,18,15694,14957,99,#PepsiCoRefresh,DailyWellness,1274,8.12%,No Campaign,#N/A,#N/A,#N/A,0
P077,Facebook,04-03-2025,Story,Check out our latest story on facebook!,1249,116,420,8743,8538,63,#PepsiCoRefresh,,1785,20.42%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P078,Twitter,17-06-2024,Image,Check out our latest image on twitter!,954,324,288,19080,18859,21,#LiveForNow,DailyWellness,1566,8.21%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P079,Instagram,09-10-2024,Carousel,Check out our latest carousel on instagram!,3068,137,329,39884,39404,266,#ThirstyForMore,FestiveRadiance,3534,8.86%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P080,Instagram,13-06-2024,Story,Check out our latest story on instagram!,2103,892,103,39957,39466,28,#LiveForNow,,3098,7.75%,No Campaign,#N/A,#N/A,#N/A,0
P081,Instagram,19-10-2024,Story,Check out our latest story on instagram!,1816,29,41,19976,19262,283,#PepsiCoRefresh,NewYearRefresh,1886,9.44%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P082,Instagram,24-07-2024,Image,Check out our latest image on instagram!,725,88,428,14500,13637,200,"#LiveForNow,#PepsiCoRefresh,#AnytimeIsPepsiTime",NewYearRefresh,1241,8.56%,No Campaign,#N/A,#N/A,#N/A,0
P083,YouTube,15-10-2024,Video,Check out our latest video on youtube!,1094,472,21,9846,9609,112,#ThirstyForMore,,1587,16.12%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P084,Facebook,09-12-2024,Image,Check out our latest image on facebook!,1841,851,342,34979,34154,255,#LiveForNow,DailyWellness,3034,8.67%,No Campaign,#N/A,#N/A,#N/A,0
P085,Instagram,19-04-2025,Image,Check out our latest image on instagram!,4177,569,55,25062,24847,230,#LiveForNow,SummerSplash,4801,19.16%,No Campaign,#N/A,#N/A,#N/A,0
P086,YouTube,27-01-2025,Text,Check out our latest text on youtube!,3428,305,85,58276,58052,242,"#ThirstyForMore,#BetterWithPepsi",DailyWellness,3818,6.55%,No Campaign,#N/A,#N/A,#N/A,0
P087,Twitter,06-06-2024,Video,Check out our latest video on twitter!,1436,765,496,12924,12701,197,#LiveForNow,NewYearRefresh,2697,20.87%,No Campaign,#N/A,#N/A,#N/A,0
P088,Facebook,07-07-2024,Story,Check out our latest story on facebook!,302,47,430,5738,4890,25,#PepsiCoRefresh,DailyWellness,779,13.58%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P089,Twitter,10-01-2025,Image,Check out our latest image on twitter!,2214,249,152,15498,14800,180,#ThirstyForMore,,2615,16.87%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P090,Instagram,03-06-2024,Image,Check out our latest image on instagram!,3861,960,101,69498,68817,297,#PepsiCoRefresh,DailyWellness,4922,7.08%,No Campaign,#N/A,#N/A,#N/A,0
P091,Facebook,24-03-2025,Image,Check out our latest image on facebook!,1263,397,357,25260,24615,137,#ThirstyForMore,DailyWellness,2017,7.98%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P092,Twitter,21-10-2024,Story,Check out our latest story on twitter!,3801,967,401,38010,37625,236,#LiveForNow,NewYearRefresh,5169,13.60%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P093,Instagram,11-12-2024,Video,Check out our latest video on instagram!,1431,951,26,8586,8396,150,#ThirstyForMore,NewYearRefresh,2408,28.05%,No Campaign,#N/A,#N/A,#N/A,0
P094,Instagram,07-11-2024,Image,Check out our latest image on instagram!,2647,304,170,18529,17841,46,#LiveForNow,NewYearRefresh,3121,16.84%,No Campaign,#N/A,#N/A,#N/A,0
P095,Instagram,08-11-2024,Text,Check out our latest text on instagram!,3182,559,160,57276,56890,163,#LiveForNow,DailyWellness,3901,6.81%,No Campaign,#N/A,#N/A,#N/A,0
P096,Twitter,10-09-2024,Image,Check out our latest image on twitter!,1238,366,444,19808,19334,123,#LiveForNow,,2048,10.34%,No Campaign,#N/A,#N/A,#N/A,0
P097,Instagram,13-08-2024,Image,Check out our latest image on instagram!,4739,527,135,61607,61333,36,"#PepsiCoRefresh,#AnytimeIsPepsiTime",FestiveRadiance,5401,8.77%,No Campaign,#N/A,#N/A,#N/A,0
P098,Twitter,10-06-2024,Story,Check out our latest story on twitter!,1575,771,486,25200,24826,17,#LiveForNow,DailyWellness,2832,11.24%,No Campaign,#N/A,#N/A,#N/A,0
P099,YouTube,02-07-2024,Carousel,Check out our latest carousel on youtube!,4171,548,86,66736,66634,173,#LiveForNow,NewYearRefresh,4805,7.20%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P100,YouTube,10-02-2025,Video,Check out our latest video on youtube!,1766,92,424,24724,24333,52,#ThirstyForMore,,2282,9.23%,No Campaign,#N/A,#N/A,#N/A,0
P101,YouTube,18-10-2024,Video,Check out our latest video on youtube!,4450,983,143,75650,75008,12,#LiveForNow,NewYearRefresh,5576,7.37%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P102,Twitter,18-09-2024,Reel,Check out our latest reel on twitter!,1000,978,162,6000,5221,223,#ThirstyForMore,FestiveRadiance,2140,35.67%,No Campaign,#N/A,#N/A,#N/A,0
P103,Facebook,11-06-2024,Image,Check out our latest image on facebook!,3689,48,306,40579,39588,212,#ThirstyForMore,FestiveRadiance,4043,9.96%,No Campaign,#N/A,#N/A,#N/A,0
P104,YouTube,23-03-2025,Story,Check out our latest story on youtube!,3655,568,286,32895,32015,199,#PepsiCoRefresh,NewYearRefresh,4509,13.71%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P105,Instagram,14-06-2024,Carousel,Check out our latest carousel on instagram!,498,38,42,4482,3647,32,#LiveForNow,SummerSplash,578,12.90%,No Campaign,#N/A,#N/A,#N/A,0
P106,Instagram,04-02-2025,Image,Check out our latest image on instagram!,4619,821,499,69285,69141,298,#PepsiCoRefresh,DailyWellness,5939,8.57%,No Campaign,#N/A,#N/A,#N/A,0
P107,YouTube,21-06-2024,Image,Check out our latest image on youtube!,4832,893,10,91808,91296,182,#PepsiCoRefresh,,5735,6.25%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P108,Twitter,25-03-2025,Video,Check out our latest video on twitter!,4050,871,347,52650,51755,209,#PepsiCoRefresh,FestiveRadiance,5268,10.01%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P109,Twitter,08-08-2024,Story,Check out our latest story on twitter!,3649,215,413,25543,24963,167,#LiveForNow,NewYearRefresh,4277,16.74%,No Campaign,#N/A,#N/A,#N/A,0
P110,Instagram,29-07-2024,Reel,Check out our latest reel on instagram!,3523,753,482,38753,38579,270,#ThirstyForMore,FestiveRadiance,4758,12.28%,No Campaign,#N/A,#N/A,#N/A,0
P111,YouTube,23-11-2024,Image,Check out our latest image on youtube!,2719,17,285,40785,40281,40,#PepsiCoRefresh,FestiveRadiance,3021,7.41%,No Campaign,#N/A,#N/A,#N/A,0
P112,Twitter,05-10-2024,Story,Check out our latest story on twitter!,1957,877,238,17613,16865,297,#LiveForNow,NewYearRefresh,3072,17.44%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P113,Twitter,02-10-2024,Carousel,Check out our latest carousel on twitter!,4419,236,369,44190,43582,10,#ThirstyForMore,SummerSplash,5024,11.37%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P114,Twitter,14-11-2024,Story,Check out our latest story on twitter!,4000,689,488,40000,39569,44,#LiveForNow,SummerSplash,5177,12.94%,No Campaign,#N/A,#N/A,#N/A,0
P115,Twitter,11-05-2025,Image,Check out our latest image on twitter!,2493,97,44,42381,41991,242,"#PepsiCoRefresh,#AnytimeIsPepsiTime",DailyWellness,2634,6.22%,No Campaign,#N/A,#N/A,#N/A,0
P116,YouTube,18-03-2025,Reel,Check out our latest reel on youtube!,3704,186,458,25928,25081,131,#PepsiCoRefresh,,4348,16.77%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P117,Twitter,04-11-2024,Image,Check out our latest image on twitter!,1606,451,405,20878,20190,219,#ThirstyForMore,DailyWellness,2462,11.79%,No Campaign,#N/A,#N/A,#N/A,0
P118,Facebook,04-11-2024,Image,Check out our latest image on facebook!,4551,714,207,68265,67754,57,#LiveForNow,NewYearRefresh,5472,8.02%,No Campaign,#N/A,#N/A,#N/A,0
P119,Instagram,07-02-2025,Reel,Check out our latest reel on instagram!,1970,675,478,9850,8924,117,#LiveForNow,,3123,31.71%,No Campaign,#N/A,#N/A,#N/A,0
P120,Facebook,21-10-2024,Story,Check out our latest story on facebook!,780,928,301,8580,8081,91,#ThirstyForMore,NewYearRefresh,2009,23.41%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P121,Instagram,29-07-2024,Story,Check out our latest story on instagram!,498,701,412,4980,4185,185,#LiveForNow,,1611,32.35%,No Campaign,#N/A,#N/A,#N/A,0
P122,Instagram,02-10-2024,Text,Check out our latest text on instagram!,3432,869,123,54912,53916,264,#ThirstyForMore,FestiveRadiance,4424,8.06%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P123,Instagram,14-06-2024,Story,Check out our latest story on instagram!,4363,649,140,21815,21481,157,#ThirstyForMore,SummerSplash,5152,23.62%,No Campaign,#N/A,#N/A,#N/A,0
P124,YouTube,06-04-2025,Carousel,Check out our latest carousel on youtube!,736,771,225,5152,4706,19,#ThirstyForMore,SummerSplash,1732,33.62%,No Campaign,#N/A,#N/A,#N/A,0
P125,Twitter,08-09-2024,Carousel,Check out our latest carousel on twitter!,3811,866,216,34299,34088,233,#PepsiCoRefresh,DailyWellness,4893,14.27%,No Campaign,#N/A,#N/A,#N/A,0
P126,Instagram,28-03-2025,Carousel,Check out our latest carousel on instagram!,4158,167,241,45738,45183,142,#LiveForNow,,4566,9.98%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P127,Facebook,27-01-2025,Reel,Check out our latest reel on facebook!,3452,652,442,65588,65049,158,#LiveForNow,NewYearRefresh,4546,6.93%,No Campaign,#N/A,#N/A,#N/A,0
P128,Twitter,10-01-2025,Image,Check out our latest image on twitter!,3092,106,291,27828,27217,102,#LiveForNow,,3489,12.54%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P129,Twitter,21-07-2024,Text,Check out our latest text on twitter!,2147,430,393,17176,16483,170,#PepsiCoRefresh,,2970,17.29%,No Campaign,#N/A,#N/A,#N/A,0
P130,YouTube,29-09-2024,Reel,Check out our latest reel on youtube!,2936,439,44,38168,37571,22,#ThirstyForMore,DailyWellness,3419,8.96%,No Campaign,#N/A,#N/A,#N/A,0
P131,Instagram,21-10-2024,Reel,Check out our latest reel on instagram!,4840,658,211,43560,43225,57,#LiveForNow,NewYearRefresh,5709,13.11%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P132,Instagram,04-03-2025,Story,Check out our latest story on instagram!,1947,842,101,21417,20967,186,#LiveForNow,FestiveRadiance,2890,13.49%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P133,Facebook,06-02-2025,Image,Check out our latest image on facebook!,2072,532,71,37296,36467,25,#PepsiCoRefresh,DailyWellness,2675,7.17%,No Campaign,#N/A,#N/A,#N/A,0
P134,Twitter,24-04-2025,Reel,Check out our latest reel on twitter!,3731,115,135,55965,55436,103,#PepsiCoRefresh,SummerSplash,3981,7.11%,No Campaign,#N/A,#N/A,#N/A,0
P135,Facebook,28-11-2024,Text,Check out our latest text on facebook!,4213,253,434,75834,75437,272,#LiveForNow,DailyWellness,4900,6.46%,No Campaign,#N/A,#N/A,#N/A,0
P136,Instagram,11-07-2024,Text,Check out our latest text on instagram!,3134,888,444,21938,21337,130,#ThirstyForMore,DailyWellness,4466,20.36%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P137,Facebook,31-07-2024,Video,Check out our latest video on facebook!,3008,94,37,15040,14639,277,#LiveForNow,,3139,20.87%,No Campaign,#N/A,#N/A,#N/A,0
P138,Twitter,29-03-2025,Image,Check out our latest image on twitter!,305,187,243,4575,3704,234,#LiveForNow,NewYearRefresh,735,16.07%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P139,YouTube,29-10-2024,Text,Check out our latest text on youtube!,2746,156,203,32952,32147,147,#ThirstyForMore,SummerSplash,3105,9.42%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P140,Facebook,15-07-2024,Image,Check out our latest image on facebook!,2291,78,485,18328,18101,10,"#ThirstyForMore,#SmoothLikeNitroPepsi",FestiveRadiance,2854,15.57%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
